key,region,section,system,option,unit,price
bayArea|MajAmountSewer|addon||pos,Bay Area,Major Systems,Sewer Line,POS Requirement,flat,15000
bayArea|MajAmountRoof|pick|roofType|tearoff,Bay Area,Major Systems,Roof,Tearoff,roofSquares,750
bayArea|MajAmountRoof|pick|roofType|layover,Bay Area,Major Systems,Roof,Layover,roofSquares,500
bayArea|MajAmountRoof|addon||cert,Bay Area,Major Systems,Roof,Roof cert,flat,2000
bayArea|MajAmountRoof|addon||gutters,Bay Area,Major Systems,Roof,New gutters,flat,2000
bayArea|MajAmountHvac|pick|hvac|service,Bay Area,Major Systems,HVAC,Service,flat,2000
bayArea|MajAmountHvac|pick|hvac|cond2,Bay Area,Major Systems,HVAC,2 ton condenser,flat,3500
bayArea|MajAmountHvac|pick|hvac|cond3,Bay Area,Major Systems,HVAC,3 ton condenser,flat,4000
bayArea|MajAmountHvac|pick|hvac|furnace,Bay Area,Major Systems,HVAC,Furnace,flat,3500
bayArea|MajAmountHvac|pick|hvac|wall,Bay Area,Major Systems,HVAC,Wall heater,flat,2000
bayArea|MajAmountHvac|pick|hvac|duct,Bay Area,Major Systems,HVAC,Duct work,flat,2500
bayArea|MajAmountHvac|pick|hvac|allnew,Bay Area,Major Systems,HVAC,All new,flat,10000
bayArea|MajAmountElectricalPanel|addon||panel100,Bay Area,Major Systems,Electrical Panel / System,New panel — 100A,flat,4000
bayArea|MajAmountElectricalPanel|addon||panel200,Bay Area,Major Systems,Electrical Panel / System,New panel — 200A,flat,5000
bayArea|MajAmountWaterHeater|addon||replace,Bay Area,Major Systems,Water Heater,Replace,flat,1500
bayArea|MajAmountWindow|addon||win,Bay Area,Major Systems,Windows,Windows,windows,750
bayArea|MajAmountWindow|addon||slider,Bay Area,Major Systems,Windows,Sliders,sliders,1500
bayArea|MajAmountChimney|addon||paint,Bay Area,Major Systems,Chimney / Fireplace,Paint,flat,500
bayArea|MajAmountChimney|addon||tile,Bay Area,Major Systems,Chimney / Fireplace,Tile,flat,2000
bayArea|MajAmountPool|addon||replaster,Bay Area,Major Systems,Pool,Replaster,flat,10000
bayArea|MajAmountPool|addon||equip,Bay Area,Major Systems,Pool,New equipment,flat,8000
bayArea|MajAmountPool|addon||startup,Bay Area,Major Systems,Pool,Startup,flat,1000
bayArea|GenAmountBathroom|addon||full,Bay Area,General Rehab,Bathroom,Full reno,count,5500
bayArea|GenAmountBathroom|addon||custom,Bay Area,General Rehab,Bathroom,Custom bathroom,count,7500
bayArea|GenAmountBathroom|addon||strategic,Bay Area,General Rehab,Bathroom,Strategic reno,count,2500
bayArea|GenAmountBathroom|addon||mirrors,Bay Area,General Rehab,Bathroom,Mirrors & lights,count,500
bayArea|GenAmountDoor|addon||hardware,Bay Area,General Rehab,Doors / Hardware,Change all hardware,intDoors,50
bayArea|GenAmountDoor|addon||paintd,Bay Area,General Rehab,Doors / Hardware,Paint doors,intDoors,50
bayArea|GenAmountDoor|addon||replace,Bay Area,General Rehab,Doors / Hardware,Replace doors,intDoors,250
bayArea|GenAmountDoor|addon||front,Bay Area,General Rehab,Doors / Hardware,Front door,frontDoors,1000
bayArea|GenAmountDoor|addon||mirror,Bay Area,General Rehab,Doors / Hardware,Mirrored sliders,beds,500
bayArea|GenAmountElectricalFixture|addon||all,Bay Area,General Rehab,Electrical Fixtures,Change all in house,flat,2500
bayArea|GenAmountElectricalFixture|addon||bedlight,Bay Area,General Rehab,Electrical Fixtures,Add bedroom/bathroom lighting,bedsBaths,250
bayArea|GenAmountElectricalFixture|addon||extlight,Bay Area,General Rehab,Electrical Fixtures,Exterior lighting,flat,2000
bayArea|GenAmountFence|addon||dogear,Bay Area,General Rehab,Fences,Dog ear fencing,fenceLF,50
bayArea|GenAmountFlooring|addon||lvp,Bay Area,General Rehab,Flooring,LVP / base,sqft,6
bayArea|GenAmountFlooring|addon||carpet,Bay Area,General Rehab,Flooring,Carpet,sqft,3
bayArea|GenAmountFlooring|addon||eng,Bay Area,General Rehab,Flooring,Engineered / base,sqft,10
bayArea|GenAmountGarage|addon||single,Bay Area,General Rehab,Garage,Single car door,garageDoors,1000
bayArea|GenAmountGarage|addon||double,Bay Area,General Rehab,Garage,Two car door,garageDoors,1500
bayArea|GenAmountGarage|addon||motor,Bay Area,General Rehab,Garage,New motor,garages,500
bayArea|GenAmountKitchen|addon||allnew,Bay Area,General Rehab,Kitchen,All new,flat,12500
bayArea|GenAmountKitchen|addon||highend,Bay Area,General Rehab,Kitchen,All new (high end),flat,17500
bayArea|GenAmountKitchen|addon||counter,Bay Area,General Rehab,Kitchen,Countertops,flat,4000
bayArea|GenAmountKitchen|addon||paint,Bay Area,General Rehab,Kitchen,Paint,flat,2500
bayArea|GenAmountLockTrash|pick|demo|std,Bay Area,General Rehab,Locks / Trash Out / Demo,Standard,flat,5000
bayArea|GenAmountLockTrash|pick|demo|med,Bay Area,General Rehab,Locks / Trash Out / Demo,Medium,flat,7500
bayArea|GenAmountLockTrash|pick|demo|heavy,Bay Area,General Rehab,Locks / Trash Out / Demo,Heavy,flat,10000
bayArea|GenAmountMaterial|addon||std,Bay Area,General Rehab,Materials,Standard finish,flat,10000
bayArea|GenAmountMaterial|addon||big,Bay Area,General Rehab,Materials,Big House finish,flat,15000
bayArea|GenAmountPaint|addon||int,Bay Area,General Rehab,Paint,Interior,sqft,3
bayArea|GenAmountPaint|addon||ext,Bay Area,General Rehab,Paint,Exterior,sqft,3
bayArea|GenAmountPaint|addon||texture,Bay Area,General Rehab,Paint,Texture,sqft,1.5
bayArea|GenAmountPaint|addon||popcorn,Bay Area,General Rehab,Paint,Popcorn ceiling scrape,sqft,1.5
bayArea|GenAmountMisc|addon||concrete,Bay Area,General Rehab,Miscellaneous,Concrete work,sqft,20
bayArea|FinAmountAppliance|pick|appl|nofridge,Bay Area,Finishes,Appliances,"All new, no fridge",flat,2750
bayArea|FinAmountAppliance|pick|appl|fridge,Bay Area,Finishes,Appliances,All new w/ fridge,flat,4000
bayArea|FinAmountAppliance|pick|appl|r36,Bay Area,Finishes,Appliances,"36"" range w/ fridge",flat,5000
